userid,version,sum_gamerounds,retention_1,retention_7,retention_14
116,guest,3,FALSE,FALSE,FALSE
337,facebook,38,TRUE,FALSE,FALSE
377,guest,165,TRUE,FALSE,FALSE
483,facebook,1,FALSE,FALSE,FALSE
488,guest,179,TRUE,TRUE,TRUE
540,facebook,187,TRUE,TRUE,TRUE
1066,guest,0,FALSE,FALSE,FALSE
1444,facebook,2,FALSE,FALSE,FALSE
1574,guest,108,TRUE,TRUE,TRUE
1587,facebook,153,TRUE,FALSE,FALSE
1842,guest,3,FALSE,TRUE,TRUE
2101,guest,0,FALSE,FALSE,FALSE
2132,guest,30,TRUE,FALSE,FALSE
2179,guest,39,TRUE,FALSE,FALSE
2218,guest,305,TRUE,TRUE,TRUE
2382,guest,73,TRUE,FALSE,FALSE
2392,guest,14,TRUE,FALSE,FALSE
2451,guest,204,TRUE,TRUE,TRUE
2482,facebook,108,TRUE,TRUE,TRUE
2502,guest,1,FALSE,FALSE,FALSE
2530,guest,9,TRUE,FALSE,FALSE
2534,guest,5,TRUE,FALSE,FALSE
2695,guest,45,TRUE,FALSE,FALSE
2729,guest,105,FALSE,TRUE,TRUE
2829,guest,4,FALSE,FALSE,FALSE
2963,guest,3,FALSE,FALSE,FALSE
3095,guest,0,FALSE,FALSE,FALSE
3132,guest,80,TRUE,TRUE,TRUE
3186,guest,4,FALSE,FALSE,FALSE
3199,guest,5,FALSE,FALSE,FALSE
3204,guest,53,TRUE,TRUE,TRUE
3413,guest,37,TRUE,FALSE,FALSE
3690,guest,13,TRUE,FALSE,FALSE
3696,guest,50,FALSE,FALSE,FALSE
3993,guest,202,TRUE,TRUE,TRUE
4076,guest,0,FALSE,FALSE,FALSE
4162,guest,23,FALSE,FALSE,FALSE
4176,guest,0,FALSE,FALSE,FALSE
4283,guest,103,FALSE,FALSE,FALSE
4594,guest,27,FALSE,FALSE,FALSE
4653,guest,15,FALSE,FALSE,FALSE
4881,guest,0,FALSE,FALSE,FALSE
4902,guest,1,FALSE,FALSE,FALSE
4916,guest,49,TRUE,FALSE,FALSE
4918,guest,7,FALSE,FALSE,FALSE
4929,guest,386,TRUE,TRUE,TRUE
4945,guest,25,TRUE,FALSE,FALSE
5066,guest,1,FALSE,FALSE,FALSE
